customer_id,country,segment,product_tier,open_date,dob,digital_adoption_score,acquisition_channel
33,US,Corporate,CoBrand,2015-01-26,2007-04-20,73,Online
34,US,Consumer,Blue,2013-04-01,2007-10-10,41,Online
35,US,SMB,Gold,2010-06-17,1996-11-21,51,Online
36,US,Consumer,Blue,1995-09-13,1989-10-23,16,Referral
37,US,Consumer,Gold,2021-05-18,1975-08-26,74,Branch
38,US,Consumer,Blue,2022-11-02,1966-09-21,78,Partner
39,US,Corporate,Green,2018-07-07,2007-02-06,95,Online
40,US,SMB,Platinum,2024-12-17,1975-01-26,63,Online
41,US,Consumer,Gold,2017-09-27,2000-11-15,79,Referral
42,MX,Consumer,Blue,2010-05-25,1985-10-07,60,Online
43,US,Consumer,Green,2024-05-15,1975-11-15,76,Referral
44,US,Consumer,Platinum,2022-12-13,1964-05-04,75,Direct
45,MX,Consumer,BusinessGold,2014-05-09,1963-01-20,58,Direct
46,CA,Consumer,CoBrand,2025-11-06,2007-06-06,73,Direct
47,US,Consumer,Gold,2024-05-28,1972-11-12,64,Referral
48,US,Consumer,Blue,2013-09-17,1995-02-23,51,Online
49,US,Corporate,Blue,1993-08-09,1991-11-08,30,Online
50,US,Consumer,Green,2013-07-20,2007-01-17,49,Online
51,US,Consumer,Green,2025-12-02,1980-01-13,79,Online
52,US,Consumer,Green,2007-01-18,1959-06-22,37,Direct
53,CA,SMB,Gold,2021-09-16,1990-09-07,90,Direct
54,US,Corporate,Gold,2004-09-12,1980-07-01,45,Direct
55,US,SMB,Green,2025-02-20,1985-10-21,88,Partner
56,CA,Consumer,Gold,2014-04-11,1980-03-01,45,Direct
57,US,Corporate,Green,2015-01-26,1954-09-09,59,Online
58,US,Consumer,Blue,2024-11-17,1985-12-16,60,Direct
59,US,Consumer,CoBrand,2019-01-28,1992-07-10,70,Online
60,US,Consumer,Gold,2005-04-07,2002-01-12,21,Branch
61,US,Corporate,Gold,2022-09-24,1975-07-04,69,Online
62,US,Corporate,Gold,2025-02-02,1993-05-24,59,Online
63,US,SMB,Green,2017-09-07,1981-08-28,69,Online
64,US,SMB,Gold,2018-12-03,1987-07-16,50,Online
65,US,Consumer,Green,2016-05-10,1983-04-07,58,Direct
66,US,SMB,Platinum,2024-03-13,1964-01-13,86,Online
67,US,Consumer,BusinessPlatinum,2020-10-27,1993-04-12,91,Online
68,US,Consumer,Blue,2021-11-13,1988-12-11,100,Direct
69,US,SMB,BusinessGold,2023-03-10,2007-05-03,88,Direct
70,US,Consumer,Gold,2017-05-20,1991-10-20,65,Direct
71,US,Consumer,Platinum,2020-10-20,1962-10-26,82,Referral
72,US,Consumer,Blue,2017-02-10,1978-11-03,82,Direct
73,UK,Consumer,Gold,2022-11-13,1988-07-13,78,Partner
74,US,Corporate,Green,2023-06-27,1973-12-01,83,Branch
75,US,SMB,Platinum,2005-07-06,1996-12-17,50,Referral
76,US,Consumer,BusinessPlatinum,2015-10-13,1986-01-28,51,Referral
77,US,Consumer,Blue,2020-03-08,1984-10-19,62,Referral
78,US,Consumer,Gold,2009-04-04,2003-03-27,61,Branch
79,US,Consumer,Gold,2024-06-24,1967-12-08,85,Direct
80,CA,Consumer,Green,2013-12-08,1989-10-27,52,Online
81,US,Consumer,Blue,2007-04-23,1992-03-14,38,Online
82,US,Consumer,Green,2015-01-22,1997-11-17,39,Direct
83,CA,Consumer,Platinum,2024-02-27,1965-08-27,81,Branch
84,US,Consumer,BusinessGold,2023-05-24,1963-08-18,86,Referral
85,US,Consumer,CoBrand,2022-09-28,1980-09-05,80,Online
86,US,Consumer,CoBrand,2025-01-06,1981-08-27,90,Partner
87,US,Consumer,Green,2005-09-16,1980-11-10,31,Referral
88,US,Consumer,Green,2016-10-04,1992-08-02,36,Direct
89,US,SMB,Platinum,2015-09-06,1998-11-15,65,Online
90,US,Consumer,BusinessPlatinum,2025-06-18,1988-08-10,98,Online
91,US,Consumer,Gold,2020-08-04,1989-05-26,73,Online
92,US,Consumer,Platinum,2017-11-20,2005-08-16,48,Direct
93,US,SMB,Gold,2008-07-01,1993-12-06,57,Branch
94,US,Consumer,Gold,2020-04-19,1992-08-21,100,Partner
95,US,Consumer,Green,2022-09-18,1984-07-22,72,Partner
96,US,Corporate,CoBrand,2022-11-22,1995-08-14,69,Partner
97,US,SMB,Green,2025-07-23,1966-07-16,80,Online
98,US,SMB,Platinum,2012-05-23,2005-09-13,58,Direct
99,US,SMB,Gold,2005-03-10,1989-12-01,25,Referral
100,IN,SMB,Gold,2020-05-24,1983-02-24,53,Online
101,DE,SMB,CoBrand,2025-11-03,1998-07-16,98,Online
102,US,Corporate,Platinum,2024-04-01,1988-11-28,62,Online
103,US,Consumer,Green,2018-07-11,1994-08-11,87,Referral
104,IN,Consumer,CoBrand,2025-07-05,1981-07-08,91,Partner
105,US,Corporate,Gold,2013-08-23,1962-06-08,53,Online
106,US,Corporate,CoBrand,1995-11-13,1988-01-15,47,Online
107,US,SMB,Blue,2021-07-18,1998-03-03,64,Online
108,US,Consumer,Green,2024-12-03,1989-04-27,72,Referral
109,US,Consumer,CoBrand,2025-06-24,1979-06-18,77,Online
110,DE,Consumer,Gold,2017-03-25,1988-08-08,61,Partner
111,US,Consumer,Platinum,2020-03-02,1970-11-07,74,Partner
112,US,Consumer,Green,2011-05-14,1979-07-20,56,Online
113,US,Consumer,Blue,2005-11-25,1982-07-02,60,Partner
114,US,Consumer,Green,2013-09-01,1973-05-28,73,Online
115,US,Consumer,Gold,2025-07-07,1996-10-08,71,Online
116,UK,SMB,Blue,2002-11-02,1992-05-21,31,Online
117,US,Consumer,Blue,2017-04-18,1988-12-11,59,Referral
118,US,Consumer,Blue,2019-12-05,1980-08-26,73,Partner
119,US,Consumer,BusinessGold,2012-06-07,1990-02-22,49,Online
120,US,Consumer,Gold,2025-07-26,1983-12-01,74,Online
121,US,Consumer,BusinessGold,2023-12-22,1989-02-17,83,Online
122,US,Consumer,Blue,2019-11-06,1974-11-09,63,Online
123,US,Consumer,Blue,1990-04-25,1981-04-08,31,Direct
124,US,Consumer,Gold,2023-01-01,1984-09-07,79,Online
125,US,Consumer,Blue,2004-05-18,1997-10-03,31,Online
126,US,Consumer,Blue,2017-10-28,1978-09-26,79,Online
127,US,SMB,Blue,2017-04-04,2002-10-03,83,Direct
128,US,SMB,Gold,2023-10-19,1991-08-06,100,Direct
129,US,Consumer,Platinum,2010-12-19,1994-01-12,60,Partner
130,US,Consumer,CoBrand,2025-08-02,1977-06-02,87,Partner
131,US,Consumer,Green,2020-07-11,1992-11-18,81,Partner
132,FR,Consumer,Blue,2018-01-14,1979-01-24,82,Branch
133,US,Consumer,Green,2009-07-04,1999-02-08,65,Branch
134,US,Consumer,Platinum,2024-02-07,1980-05-12,82,Direct
135,US,Consumer,CoBrand,2020-11-26,1984-09-09,70,Direct
136,US,Consumer,Blue,2019-06-20,1968-11-16,75,Online
137,IN,Consumer,BusinessPlatinum,2013-06-06,1992-05-15,59,Partner
138,US,Corporate,Platinum,2022-08-22,1995-12-03,98,Online
139,CA,SMB,Platinum,2021-04-28,1984-05-20,71,Direct
140,US,Consumer,Gold,2024-05-11,1988-12-14,78,Partner
141,US,SMB,Blue,2022-05-11,1975-03-02,83,Online
142,US,Consumer,Blue,2025-02-09,2002-08-16,71,Partner
143,FR,Consumer,Blue,2017-10-20,1977-06-22,79,Online
144,US,Consumer,Green,2003-10-24,1975-06-10,39,Direct
145,US,Consumer,Green,2007-06-19,2003-08-16,21,Online
146,US,Consumer,CoBrand,2024-04-16,1988-11-26,63,Online
147,US,SMB,Platinum,2012-05-06,1991-07-08,58,Partner
148,US,Corporate,Blue,2019-06-07,2007-01-28,80,Direct
149,US,Corporate,Blue,2025-03-11,1989-10-20,99,Online
150,US,SMB,CoBrand,2024-09-26,1973-03-01,69,Direct
151,MX,Consumer,Green,2024-02-20,1973-12-18,100,Branch
152,DE,SMB,CoBrand,2019-08-18,1967-02-14,88,Referral
153,US,Consumer,Blue,2020-03-15,1981-07-24,70,Online
154,US,Consumer,Gold,2025-01-28,1987-06-24,83,Referral
155,US,Consumer,Gold,2022-01-23,1993-06-14,54,Online
156,US,SMB,BusinessGold,2014-07-26,1977-09-06,52,Online
157,US,Consumer,Gold,2024-05-13,1973-09-21,86,Online
158,US,SMB,Blue,2008-06-18,1978-05-16,46,Online
159,US,Corporate,Green,2020-11-23,1978-03-15,59,Online
160,US,SMB,BusinessGold,2010-08-07,1983-01-22,54,Online
161,US,Consumer,BusinessPlatinum,2003-09-04,1973-05-22,44,Online
162,DE,SMB,Platinum,2018-11-03,1967-09-04,60,Branch
163,US,Consumer,Gold,2021-06-23,1999-01-21,87,Branch
164,US,Consumer,Platinum,2015-02-17,1975-01-15,58,Branch
165,US,Consumer,Blue,2001-09-27,1954-10-06,21,Online
166,US,Consumer,Gold,2022-08-28,1980-02-28,68,Online
167,MX,Consumer,Green,2022-11-05,1998-08-21,90,Online
168,CA,SMB,Blue,2022-02-12,2003-03-16,80,Online
169,US,Consumer,Gold,2018-04-17,1973-04-27,66,Online
170,IN,SMB,Gold,2011-08-21,1986-10-20,72,Direct
171,US,Consumer,Gold,1990-07-24,1994-03-27,26,Online
172,US,Corporate,CoBrand,2020-06-27,1970-10-12,69,Online
173,US,Consumer,Platinum,2018-11-22,1972-04-17,66,Online
174,FR,Consumer,Blue,2022-04-28,2007-01-09,76,Direct
175,US,Consumer,CoBrand,2016-11-02,1979-09-20,80,Partner
176,US,Consumer,Green,2025-05-10,1980-01-12,74,Online
177,US,Consumer,Blue,2024-03-24,1987-08-01,100,Online
178,JP,SMB,Blue,2017-03-03,1976-03-26,58,Partner
179,DE,Consumer,BusinessGold,2025-06-15,1954-06-21,72,Partner
180,US,Consumer,CoBrand,2016-05-07,1987-11-18,84,Online
181,DE,SMB,BusinessPlatinum,2023-02-19,1981-04-18,66,Branch
182,DE,Consumer,Gold,2015-08-19,1979-10-03,81,Partner
183,US,SMB,Gold,2020-08-04,1993-09-09,67,Direct
184,US,Consumer,Blue,2023-09-02,1976-09-24,91,Online
185,US,SMB,Green,2016-09-16,1967-04-23,74,Online
186,US,Consumer,Gold,2014-06-03,1982-06-13,67,Online
187,US,Consumer,CoBrand,2013-04-25,1993-11-16,65,Online
188,US,SMB,BusinessPlatinum,2007-11-22,1993-03-06,42,Branch
189,US,Consumer,BusinessPlatinum,2012-01-22,1960-07-03,56,Branch
190,US,Consumer,Gold,2018-05-02,1988-11-26,82,Partner
191,FR,SMB,Gold,2013-08-13,1994-02-22,63,Direct
192,US,Corporate,Blue,2020-01-02,1998-01-13,78,Online
193,US,Consumer,BusinessGold,2013-02-05,1991-12-03,66,Direct
194,MX,SMB,Platinum,2021-04-12,1965-01-27,59,Direct
195,US,SMB,Blue,2024-10-21,1972-10-27,75,Direct
196,US,Corporate,Green,2024-02-02,1995-10-14,90,Online
197,US,Consumer,Green,2020-06-24,1969-07-02,61,Direct
198,UK,Consumer,Green,2019-12-25,1991-08-01,88,Branch
199,US,Consumer,Platinum,2024-11-25,1957-07-12,82,Partner
200,US,Consumer,Gold,2021-08-28,1979-08-02,80,Referral
201,US,Consumer,CoBrand,2011-04-26,1985-07-19,69,Branch
202,AU,Consumer,Platinum,2014-01-01,1985-03-20,63,Online
203,US,Corporate,BusinessGold,2017-07-08,1951-12-15,61,Partner
204,US,SMB,CoBrand,2020-05-01,1997-07-01,83,Direct
205,US,Consumer,CoBrand,2025-08-18,1986-08-16,72,Branch
206,US,Consumer,Gold,2023-01-19,1994-10-28,74,Direct
207,US,Consumer,Platinum,2013-08-01,1994-06-09,80,Branch
208,US,Consumer,Gold,2001-05-12,1990-08-16,39,Direct
209,US,SMB,Gold,2020-02-14,1977-04-13,77,Partner
210,US,Consumer,BusinessGold,2022-07-23,1981-06-25,55,Partner
211,US,Consumer,Platinum,2023-08-17,1959-03-13,60,Partner
212,US,SMB,Gold,2020-01-27,1999-08-18,67,Partner
213,US,SMB,Green,2020-12-09,1976-03-11,77,Partner
214,CA,SMB,Green,2017-10-08,1991-12-21,57,Branch
215,US,SMB,CoBrand,2023-08-09,1993-05-13,63,Online
216,US,Consumer,Gold,2020-08-16,1996-11-03,63,Online
217,US,Consumer,Blue,2017-01-03,1988-10-28,72,Direct
218,US,Consumer,Gold,2024-05-06,1995-03-18,85,Online
219,FR,Corporate,Green,2003-12-28,1993-04-25,19,Direct
220,US,SMB,Platinum,2017-07-24,1995-01-01,72,Online
221,US,Consumer,Gold,2018-01-23,1999-05-27,80,Online
222,US,SMB,Blue,2018-11-21,2007-01-21,76,Online
223,US,Consumer,BusinessPlatinum,2009-01-20,1975-05-02,48,Online
224,IN,Consumer,Green,2018-06-17,1999-08-02,73,Direct
225,US,SMB,BusinessPlatinum,2023-12-25,1985-12-07,72,Referral
226,FR,Consumer,BusinessGold,2012-11-16,1986-07-02,57,Online
227,US,Consumer,Gold,2019-02-22,1979-05-28,56,Online
228,US,Consumer,Green,2022-10-01,1986-10-03,69,Online
229,US,Consumer,Gold,2022-05-14,1991-08-17,80,Partner
230,US,SMB,Blue,2025-02-26,1997-09-05,83,Direct
231,US,Consumer,BusinessPlatinum,2021-05-27,2003-10-07,71,Direct
232,US,Consumer,Platinum,1992-08-06,2006-06-06,23,Referral
233,IN,SMB,CoBrand,2008-09-15,1999-06-09,54,Direct
234,US,Consumer,Gold,2018-06-12,1990-02-24,73,Partner
235,FR,Consumer,Blue,2003-10-13,1980-11-04,49,Direct
236,CA,Consumer,BusinessGold,2017-10-06,1981-10-11,73,Partner
237,US,SMB,Gold,2023-01-01,1978-02-01,92,Direct
238,CA,Consumer,BusinessGold,2023-06-17,1977-09-08,83,Referral
239,US,Consumer,Platinum,2004-02-14,1987-09-20,52,Online
240,US,Consumer,Blue,2022-04-05,1963-02-17,91,Direct
241,MX,SMB,BusinessPlatinum,2014-11-13,1978-08-08,54,Online
242,CA,Consumer,Gold,2016-02-19,1989-06-20,65,Online
243,US,Corporate,BusinessGold,2013-03-03,1971-04-19,60,Partner
244,US,SMB,CoBrand,2018-05-14,1994-12-05,62,Online
245,US,SMB,CoBrand,2014-09-17,2006-07-10,54,Direct
246,UK,SMB,BusinessPlatinum,2021-06-04,1967-05-24,89,Partner
247,US,Consumer,BusinessGold,2007-08-01,1995-04-16,62,Online
248,US,Consumer,Blue,2025-05-20,1998-04-27,69,Online
249,US,Consumer,BusinessGold,2024-05-27,1997-11-16,79,Direct
250,US,Consumer,Platinum,2022-06-22,2006-02-15,71,Direct
251,US,Consumer,Green,2015-03-17,1988-04-08,95,Partner
252,UK,Consumer,Green,2023-02-07,1988-05-09,98,Partner
253,US,Corporate,Green,1999-06-14,1982-06-11,33,Online
254,US,Consumer,BusinessGold,2023-04-04,1998-09-25,75,Direct
255,US,Consumer,CoBrand,2008-05-09,1988-06-07,66,Partner
256,US,Consumer,Green,2014-01-15,1972-12-01,70,Direct
257,CA,Corporate,Gold,2019-08-25,1994-04-28,83,Online
258,US,SMB,Gold,2022-01-07,1984-12-19,81,Online
259,US,SMB,Platinum,2015-07-22,1979-07-13,67,Online
260,US,Consumer,Blue,2011-05-01,1979-05-20,52,Partner
261,US,Consumer,Blue,2005-07-27,2007-02-22,53,Online
262,MX,Consumer,Green,2018-06-19,1978-02-20,74,Online
263,US,Consumer,Green,2018-03-11,1975-03-26,64,Online
264,US,SMB,Gold,2016-01-28,1988-09-15,72,Direct
265,FR,Consumer,Gold,2025-04-20,1998-10-28,80,Direct
266,US,Consumer,BusinessGold,2004-08-23,1985-12-24,35,Direct
267,US,Consumer,Blue,1998-07-03,1976-12-08,20,Online
268,US,Corporate,BusinessGold,2024-11-09,1968-02-09,73,Online
269,US,Corporate,Green,2018-01-15,1991-09-11,62,Online
270,US,Consumer,BusinessGold,2024-08-20,2002-11-05,88,Online
271,US,Corporate,Platinum,2024-11-14,1995-08-16,82,Partner
272,US,SMB,Platinum,2015-02-09,2007-12-22,63,Online
273,US,Consumer,Gold,2024-08-27,1992-09-08,78,Direct
274,US,Corporate,Gold,2020-09-03,1994-09-14,68,Online
275,US,Consumer,Gold,2020-09-17,1963-01-09,71,Referral
276,US,Consumer,Green,2023-11-24,1981-08-18,56,Online
277,US,Corporate,Green,2019-12-08,1982-05-21,57,Partner
278,US,Consumer,Green,1996-04-04,1965-12-14,1,Online
279,UK,Consumer,Gold,2021-01-26,1977-08-28,69,Online
280,UK,Corporate,Gold,2013-10-28,1977-09-25,49,Direct
281,US,Corporate,Blue,2020-09-15,1985-12-27,45,Branch
282,US,SMB,Blue,2014-04-07,1980-05-07,36,Partner
283,US,SMB,Blue,2015-08-13,1989-11-26,79,Referral
284,US,Consumer,CoBrand,2019-01-08,1996-01-24,76,Direct
285,US,Corporate,Platinum,2020-08-03,1991-12-12,69,Online
286,US,Consumer,Blue,2022-12-21,1972-09-02,70,Partner
287,US,Consumer,Gold,2019-09-19,1992-05-28,72,Partner
288,US,Consumer,Green,2024-03-22,1991-07-04,76,Online
289,US,Consumer,Green,1990-03-18,1972-06-22,33,Online
290,US,Consumer,Gold,2014-12-17,1990-07-17,71,Online
291,MX,Consumer,Green,2023-06-19,2003-10-09,75,Online
292,US,Consumer,Platinum,2020-10-16,1992-10-15,63,Online
293,FR,Consumer,Blue,2022-12-23,1981-05-14,66,Direct
294,US,Consumer,Platinum,2017-04-16,1993-07-27,71,Online
295,UK,Consumer,Gold,2020-10-15,1982-10-17,61,Direct
296,DE,Consumer,Gold,2025-08-10,1990-01-03,70,Direct
297,AU,Consumer,Platinum,2018-08-14,1985-03-09,79,Online
298,CA,Consumer,Platinum,2015-05-23,1981-07-15,71,Online
299,US,Consumer,BusinessPlatinum,1996-12-19,1961-10-16,28,Partner
300,US,SMB,Gold,2025-02-14,2007-08-03,72,Direct
301,US,Consumer,CoBrand,2014-12-14,1972-07-17,64,Online
302,US,Consumer,CoBrand,2024-08-17,1978-04-05,71,Online
303,US,Consumer,Green,2020-12-16,1985-07-15,68,Partner
304,US,Consumer,Blue,2023-03-14,1981-01-06,75,Partner
305,UK,Consumer,CoBrand,2024-10-22,1990-09-12,80,Partner
306,US,Corporate,Platinum,2018-11-15,1947-01-08,67,Direct
307,US,Consumer,Gold,2025-10-05,1980-10-14,83,Branch
308,US,SMB,CoBrand,2018-08-19,1965-03-28,81,Online
309,US,Consumer,Gold,2023-01-04,2004-09-01,76,Online
310,US,Consumer,CoBrand,1998-06-07,1995-07-23,24,Direct
311,US,Corporate,BusinessGold,2024-02-19,1985-01-20,86,Direct
312,US,Consumer,BusinessGold,2019-09-16,1967-08-11,63,Direct
313,US,Corporate,Green,2013-07-05,1973-10-01,60,Online
314,US,Consumer,Blue,2025-06-28,1965-08-16,94,Online
315,US,SMB,Platinum,2022-11-03,2000-01-01,94,Direct
316,US,SMB,Gold,2018-02-20,1992-03-26,65,Direct
317,US,Consumer,CoBrand,2022-02-22,1979-02-12,77,Direct
318,US,Consumer,Blue,2022-02-13,1976-09-14,62,Online
319,US,SMB,Blue,2021-10-19,1980-11-10,47,Direct
320,IN,SMB,Blue,2017-11-17,2005-09-08,85,Direct
321,DE,Consumer,Blue,2018-04-18,1979-09-23,54,Direct
322,US,SMB,Gold,2015-04-16,1976-04-24,51,Partner
323,US,Consumer,BusinessGold,2012-04-28,1973-08-28,30,Direct
324,US,SMB,CoBrand,2022-11-26,2007-12-06,77,Referral
325,UK,Consumer,Gold,2023-02-04,1993-07-12,96,Partner
326,US,Consumer,Green,2020-11-24,1982-01-13,65,Online
327,CA,Consumer,Blue,2012-09-11,1985-09-13,65,Online
328,US,Consumer,Gold,2003-04-18,2005-11-23,36,Direct
329,US,Corporate,BusinessPlatinum,2017-03-04,1982-07-24,52,Direct
330,US,SMB,Blue,2024-09-05,1988-03-14,63,Branch
331,US,Consumer,BusinessGold,2007-02-25,1999-11-05,44,Direct
332,US,SMB,Platinum,2018-05-08,1982-01-19,72,Online
333,US,Consumer,CoBrand,2008-02-24,1996-12-06,48,Online
334,UK,Consumer,Gold,2009-10-05,1987-09-20,42,Partner
335,US,Consumer,Gold,1999-03-02,1985-09-01,43,Referral
336,US,Consumer,Blue,2021-04-24,2005-12-05,81,Online
337,US,Consumer,Blue,2023-10-07,1999-11-17,71,Online
338,US,Corporate,Centurion,2010-11-15,1983-06-28,60,Direct
339,US,Consumer,Gold,2021-05-23,1987-01-06,70,Partner
340,FR,Consumer,Gold,2021-03-15,1990-03-20,57,Direct
341,US,Consumer,Green,2020-05-06,1997-02-05,100,Online
342,IN,SMB,Gold,2025-02-07,1989-12-09,64,Referral
343,CA,Corporate,Gold,2023-08-28,1977-01-09,72,Online
344,US,Corporate,CoBrand,2012-07-11,1980-10-15,55,Online
345,CA,Consumer,Blue,2016-02-06,2007-05-04,70,Referral
346,CA,Consumer,Green,2021-05-18,1962-11-14,56,Partner
347,IN,Consumer,CoBrand,2024-10-27,1975-07-09,70,Online
348,US,Corporate,Green,2016-02-10,2002-08-02,70,Online
349,US,Consumer,Platinum,1997-08-12,1985-08-12,43,Online
350,US,SMB,Blue,2018-10-17,1985-02-20,75,Direct
351,US,Consumer,Green,2025-12-19,2000-11-15,85,Online
352,US,Consumer,Gold,2022-09-12,1984-09-24,70,Direct
353,US,Consumer,Blue,2006-12-09,1985-07-23,49,Direct
354,US,Consumer,Gold,2025-02-01,1990-08-23,72,Branch
355,US,Consumer,Green,2010-04-17,1999-08-11,54,Online
356,US,Consumer,Platinum,2024-08-19,1985-06-23,77,Online
357,US,Corporate,Blue,2022-01-26,1959-03-23,55,Online
358,CA,Consumer,Green,2010-05-21,1968-07-06,46,Partner
359,US,Consumer,Gold,2023-10-11,1980-01-24,57,Online
360,US,Consumer,Green,2023-12-20,1989-01-06,73,Online
361,FR,Consumer,Gold,2024-01-25,1968-10-22,64,Online
362,US,SMB,Platinum,2020-10-01,1982-04-19,86,Direct
363,US,Consumer,BusinessGold,2007-01-17,1984-06-04,35,Branch
364,US,Consumer,Blue,2018-03-07,1976-10-16,70,Branch
365,US,Consumer,CoBrand,2020-04-14,1989-04-28,84,Branch
366,US,Consumer,Blue,2023-07-27,1986-10-16,64,Online
367,US,Consumer,BusinessGold,2022-09-12,1995-07-14,67,Partner
368,US,Consumer,Platinum,2019-04-05,1969-06-17,74,Direct
369,US,Consumer,Green,2022-11-07,1975-03-13,70,Branch
370,DE,Consumer,Green,2012-01-17,1999-01-09,44,Online
371,US,Consumer,Blue,2023-10-07,1993-05-03,56,Online
372,US,Consumer,Blue,2025-12-03,1957-11-09,84,Online
373,US,SMB,BusinessGold,2025-09-07,1991-10-26,78,Direct
374,US,Consumer,Green,2025-03-07,1998-05-04,100,Online
375,US,SMB,Green,2025-03-08,1996-01-28,76,Online
376,US,Consumer,Green,2017-08-17,1993-04-05,48,Online
377,FR,Consumer,Green,2015-08-10,1979-03-21,46,Branch
378,US,SMB,CoBrand,2021-09-17,1999-09-27,83,Direct
379,US,Corporate,Gold,2012-03-11,1995-04-09,35,Direct
380,US,SMB,Gold,2015-04-15,1983-11-24,79,Online
381,US,Consumer,BusinessGold,2021-05-02,1978-02-23,78,Online
382,FR,Consumer,Green,2025-04-21,1979-10-21,100,Online
383,CA,Consumer,Green,2019-01-04,1979-06-05,61,Referral
384,US,Consumer,Blue,2023-10-10,1992-01-12,69,Online
385,US,Consumer,BusinessGold,2022-08-03,1967-02-20,54,Online
386,SG,SMB,CoBrand,2022-12-08,1969-08-11,59,Online
387,US,Consumer,Green,2008-05-18,1975-03-24,54,Partner
388,IN,SMB,Blue,2024-11-04,1990-08-28,81,Online
389,US,Consumer,BusinessPlatinum,2025-05-05,2001-07-20,89,Branch
390,UK,SMB,Green,2024-07-01,1975-04-13,77,Partner
391,US,Consumer,Gold,2022-03-16,1990-01-04,91,Online
392,US,Consumer,Gold,2001-02-24,1994-02-16,53,Partner
393,US,Consumer,Blue,2019-05-07,1982-08-28,61,Direct
394,US,SMB,Blue,2022-07-08,1988-05-16,84,Direct
395,US,Consumer,Green,2010-07-08,2000-10-21,43,Online
396,US,Corporate,Green,2022-03-24,1986-11-08,75,Online
397,MX,Consumer,Green,2024-05-02,2007-10-06,90,Direct
398,US,Corporate,Blue,2022-01-28,1985-07-12,60,Partner
399,US,Consumer,Platinum,2023-06-14,1990-07-22,67,Online
400,US,Consumer,Gold,2019-11-25,1968-03-11,100,Direct
401,US,Consumer,Blue,2024-02-06,1981-02-06,78,Partner
402,DE,Consumer,CoBrand,2018-03-12,1972-07-05,73,Partner
403,CA,SMB,Gold,1994-02-07,1988-11-01,38,Direct
404,US,Consumer,Blue,2008-11-14,1978-04-18,49,Direct
405,JP,SMB,Gold,2014-12-06,1975-07-24,77,Branch
406,UK,SMB,Green,2010-11-08,2007-06-13,64,Online
407,US,Consumer,Green,2020-03-06,1997-06-25,71,Partner
408,MX,Corporate,Gold,2023-07-27,1990-03-11,73,Online
409,US,SMB,BusinessGold,2020-06-11,1960-07-22,70,Partner
410,JP,Corporate,Platinum,2023-06-22,1968-01-21,84,Online
411,US,Consumer,Green,2020-04-14,1977-06-04,74,Partner
412,US,Corporate,CoBrand,2022-11-04,1985-06-08,64,Online
413,US,Consumer,Gold,2021-01-14,1994-04-11,72,Online
414,DE,Corporate,Blue,2022-01-06,1968-05-18,62,Online
415,US,Consumer,CoBrand,2010-04-02,1969-05-21,46,Direct
416,US,Consumer,Gold,2018-08-21,1995-07-10,74,Online
417,US,SMB,Green,1999-10-13,1961-04-19,31,Online
418,US,SMB,Green,2017-04-22,1987-03-06,53,Branch
419,US,Consumer,Green,2010-05-17,2007-08-21,50,Online
