account_id,customer_id,credit_limit_usd,fico_score,apr_percent,risk_band
158,158,4791,669,18.89,High
159,159,21098,647,20.55,High
160,160,34213,733,15.88,Medium
161,161,58077,621,20.06,High
162,162,40861,697,17.79,Medium
163,163,27839,701,17.72,Medium
164,164,32005,721,17.07,Medium
165,165,4457,687,19.84,Medium
166,166,6962,618,20.12,High
167,167,9566,650,18.95,High
168,168,3919,584,19.44,High
169,169,14852,613,22.32,High
170,170,12481,579,24.0,VeryHigh
171,171,19825,580,23.68,High
172,172,15775,631,22.07,High
173,173,23547,698,14.95,Medium
174,174,2845,553,23.4,VeryHigh
175,175,8827,694,17.16,Medium
176,176,19716,568,20.78,VeryHigh
177,177,2788,720,17.18,Medium
178,178,4788,632,19.74,High
179,179,15775,611,21.85,High
180,180,6588,680,17.85,Medium
181,181,141608,766,15.56,Low
182,182,16019,601,20.32,High
183,183,14947,682,19.55,Medium
184,184,3514,685,18.1,Medium
185,185,11433,660,17.68,High
186,186,17453,618,22.54,High
187,187,7018,575,22.77,VeryHigh
188,188,56254,619,19.28,High
189,189,90089,785,13.21,Low
190,190,8971,618,19.79,High
191,191,31198,674,19.75,Medium
192,192,8660,633,19.01,High
193,193,34028,673,17.85,Medium
194,194,38524,637,20.27,High
195,195,4143,569,25.12,VeryHigh
196,196,23460,738,20.05,Medium
197,197,4352,567,23.28,VeryHigh
198,198,8806,726,15.3,Medium
199,199,34960,607,23.08,High
200,200,14002,694,18.09,Medium
201,201,8011,696,18.99,Medium
202,202,30455,560,19.61,VeryHigh
203,203,57338,667,20.44,High
204,204,9920,687,16.0,Medium
205,205,10666,836,12.83,VeryLow
206,206,9749,519,26.57,VeryHigh
207,207,28513,656,18.34,High
208,208,20560,575,21.91,VeryHigh
209,209,14556,714,17.02,Medium
210,210,27055,642,19.97,High
211,211,51102,779,12.6,Low
212,212,23225,675,18.7,Medium
213,213,8967,681,18.83,Medium
214,214,19684,611,19.13,High
215,215,5808,696,18.93,Medium
216,216,14111,614,20.85,High
217,217,1989,641,19.59,High
218,218,10163,628,19.23,High
219,219,18001,675,21.52,Medium
220,220,44114,662,15.81,High
221,221,17498,692,15.79,Medium
222,222,3286,603,19.45,High
223,223,28017,609,19.9,High
224,224,10909,667,18.23,High
225,225,98906,817,12.39,VeryLow
226,226,19101,722,15.09,Medium
227,227,14977,676,16.39,Medium
228,228,9610,604,19.07,High
229,229,9421,672,20.3,Medium
230,230,3338,530,21.3,VeryHigh
231,231,59901,822,16.37,VeryLow
232,232,23716,621,20.84,High
233,233,10035,648,17.75,High
234,234,15407,532,22.99,VeryHigh
235,235,6401,527,22.64,VeryHigh
236,236,21661,655,17.48,High
237,237,13169,598,21.26,High
238,238,48239,711,16.15,Medium
239,239,22908,664,17.32,High
240,240,2525,610,21.89,High
241,241,141354,726,15.22,Medium
242,242,9836,691,15.89,Medium
243,243,104568,782,16.35,Low
244,244,6968,566,23.34,VeryHigh
245,245,15586,657,18.82,High
246,246,70686,653,18.1,High
247,247,13671,529,23.06,VeryHigh
248,248,2479,533,25.54,VeryHigh
249,249,15071,712,14.68,Medium
250,250,42855,673,18.93,Medium
251,251,15088,707,15.31,Medium
252,252,13399,579,23.5,VeryHigh
253,253,14576,612,22.32,High
254,254,36649,679,18.54,Medium
255,255,8566,572,20.65,VeryHigh
256,256,18256,697,16.67,Medium
257,257,15790,688,16.0,Medium
258,258,19620,659,19.07,High
259,259,30387,590,23.59,High
260,260,2062,530,24.76,VeryHigh
261,261,5194,662,20.47,High
262,262,9623,651,18.38,High
263,263,7287,704,20.01,Medium
264,264,23991,751,14.87,Low
265,265,19390,649,19.41,High
266,266,19802,689,18.42,Medium
267,267,3458,590,20.4,High
268,268,58391,628,19.52,High
269,269,15508,646,19.56,High
270,270,17122,686,16.05,Medium
271,271,86314,622,22.12,High
272,272,27979,678,19.54,Medium
273,273,17205,723,15.93,Medium
274,274,39492,720,17.34,Medium
275,275,11136,642,18.79,High
276,276,7148,705,16.99,Medium
277,277,19787,588,21.32,High
278,278,8672,633,22.33,High
279,279,17802,743,16.7,Low
280,280,26445,602,20.74,High
281,281,5012,700,15.09,Medium
282,282,7272,560,21.64,VeryHigh
283,283,4605,587,22.45,High
284,284,3454,743,16.04,Low
285,285,57554,669,19.82,High
286,286,2238,545,22.62,VeryHigh
287,287,12478,664,17.97,High
288,288,12731,662,19.01,High
289,289,10700,579,19.82,VeryHigh
290,290,22388,761,15.38,Low
291,291,11342,557,18.87,VeryHigh
292,292,34251,643,18.2,High
293,293,3417,594,23.67,High
294,294,44703,761,16.09,Low
295,295,18755,757,16.19,Low
296,296,17598,683,15.96,Medium
297,297,39481,599,20.99,High
298,298,35604,759,13.95,Low
299,299,63514,836,12.89,VeryLow
300,300,14794,585,20.69,High
301,301,6903,646,20.09,High
302,302,7635,676,20.55,Medium
303,303,10398,696,17.11,Medium
304,304,5125,628,19.66,High
305,305,7954,652,19.34,High
306,306,66413,752,13.71,Low
307,307,17196,663,21.17,High
308,308,6152,686,18.71,Medium
309,309,18386,623,18.15,High
310,310,6081,555,21.72,VeryHigh
311,311,67965,728,15.94,Medium
312,312,36865,650,18.55,High
313,313,20199,593,22.04,High
314,314,3738,757,16.31,Low
315,315,40642,564,22.33,VeryHigh
316,316,15927,777,16.32,Low
317,317,5927,667,18.05,High
318,318,2868,588,23.65,High
319,319,6104,557,22.96,VeryHigh
320,320,4580,585,20.03,High
321,321,4073,617,18.73,High
322,322,9376,553,19.69,VeryHigh
323,323,20857,629,21.09,High
324,324,8653,590,20.32,High
325,325,15735,656,18.29,High
326,326,17571,730,15.63,Medium
327,327,3261,581,20.15,High
328,328,8408,615,18.11,High
329,329,130065,764,16.44,Low
330,330,5289,675,21.44,Medium
331,331,21287,644,19.4,High
332,332,31059,736,14.02,Medium
333,333,8033,709,17.71,Medium
334,334,13943,697,19.91,Medium
335,335,5293,655,19.79,High
336,336,2849,709,15.87,Medium
337,337,3681,630,18.87,High
338,338,491564,752,15.18,Low
339,339,16119,651,21.12,High
340,340,24838,709,18.14,Medium
341,341,12404,682,18.8,Medium
342,342,17321,609,20.55,High
343,343,30830,625,18.99,High
344,344,14976,648,18.94,High
345,345,6851,642,20.93,High
346,346,8138,651,18.96,High
347,347,6857,619,21.47,High
348,348,18414,659,16.48,High
349,349,29677,707,19.02,Medium
350,350,3334,670,21.56,Medium
351,351,6728,599,20.96,High
352,352,18830,772,15.24,Low
353,353,2188,606,21.33,High
354,354,15443,618,20.51,High
355,355,4597,539,20.06,VeryHigh
356,356,63460,743,15.92,Low
357,357,5147,696,17.27,Medium
358,358,10353,622,21.74,High
359,359,34468,700,15.52,Medium
360,360,10041,729,18.42,Medium
361,361,20831,511,22.42,VeryHigh
362,362,40620,715,18.78,Medium
363,363,26270,660,15.95,High
364,364,4476,585,22.18,High
365,365,7385,617,20.87,High
366,366,3694,550,24.23,VeryHigh
367,367,24137,766,15.97,Low
368,368,22781,749,15.21,Low
369,369,6714,685,16.46,Medium
370,370,7585,691,18.84,Medium
371,371,3563,552,24.25,VeryHigh
372,372,2850,587,21.18,High
373,373,58439,734,14.39,Medium
374,374,5560,541,22.56,VeryHigh
375,375,13279,667,20.57,High
376,376,11891,660,19.02,High
377,377,7970,588,21.91,High
378,378,5056,567,21.95,VeryHigh
379,379,30020,772,13.64,Low
380,380,11643,670,17.59,Medium
381,381,29113,682,19.55,Medium
382,382,14729,695,15.63,Medium
383,383,11540,682,20.07,Medium
384,384,3571,615,23.46,High
385,385,43503,691,17.48,Medium
386,386,12668,693,13.52,Medium
387,387,5140,670,19.52,Medium
388,388,3624,625,21.28,High
389,389,62795,786,12.87,Low
390,390,20257,751,15.49,Low
391,391,20180,677,18.08,Medium
392,392,11258,675,17.78,Medium
393,393,2070,548,22.15,VeryHigh
394,394,4262,648,20.24,High
395,395,5721,629,20.69,High
396,396,20809,716,15.73,Medium
397,397,7193,694,17.52,Medium
398,398,7209,681,17.05,Medium
399,399,15184,626,19.67,High
400,400,8878,674,19.55,Medium
401,401,4213,574,21.7,VeryHigh
402,402,7803,643,19.8,High
403,403,18197,683,16.32,Medium
404,404,3754,637,21.15,High
405,405,12366,653,17.94,High
406,406,8579,627,20.48,High
407,407,5658,665,18.45,High
408,408,33919,671,19.73,Medium
409,409,37704,815,12.27,VeryLow
410,410,34310,592,21.52,High
411,411,6884,723,16.77,Medium
412,412,11750,615,22.23,High
413,413,19844,705,15.93,Medium
414,414,11707,596,22.21,High
415,415,7780,745,17.95,Low
416,416,16316,610,20.38,High
417,417,13676,661,19.27,High
418,418,13023,592,21.46,High
419,419,8095,636,16.72,High
420,420,9736,654,18.7,High
421,421,17158,586,20.1,High
422,422,55216,701,18.28,Medium
423,423,42931,758,13.99,Low
424,424,7039,582,23.56,High
425,425,9217,617,19.31,High
426,426,3024,660,17.89,High
427,427,8541,679,17.94,Medium
428,428,9310,618,19.98,High
429,429,9840,632,18.91,High
430,430,11674,589,21.42,High
431,431,3723,631,20.72,High
432,432,11900,687,17.14,Medium
433,433,14670,621,20.66,High
434,434,7731,637,20.92,High
435,435,2236,603,20.74,High
436,436,23701,671,17.31,Medium
437,437,7354,694,19.38,Medium
438,438,5596,608,20.27,High
439,439,7549,746,15.23,Low
440,440,6763,689,18.71,Medium
441,441,24290,626,19.12,High
442,442,40544,593,19.74,High
443,443,5350,649,21.1,High
444,444,8725,657,17.66,High
445,445,48839,664,17.96,High
446,446,5088,573,19.84,VeryHigh
447,447,6364,642,19.22,High
448,448,107783,674,18.24,Medium
449,449,44634,732,16.62,Medium
450,450,4898,649,20.95,High
451,451,5214,498,24.81,VeryHigh
452,452,3074,562,23.11,VeryHigh
453,453,10041,612,20.93,High
454,454,3455,555,23.37,VeryHigh
455,455,18248,598,21.16,High
456,456,21242,697,15.42,Medium
457,457,46203,710,18.15,Medium
458,458,18030,682,17.47,Medium
459,459,30392,674,15.74,Medium
460,460,6574,674,19.03,Medium
461,461,42782,716,12.4,Medium
462,462,4266,591,20.77,High
463,463,19196,643,20.81,High
464,464,10713,689,18.79,Medium
465,465,7594,566,22.91,VeryHigh
466,466,4983,552,24.44,VeryHigh
467,467,17010,690,17.34,Medium
468,468,4492,643,18.42,High
469,469,29154,732,14.33,Medium
470,470,17328,649,21.64,High
471,471,14674,582,21.39,High
472,472,13065,669,17.55,High
473,473,19771,651,17.34,High
474,474,5223,733,18.43,Medium
475,475,21255,694,18.45,Medium
476,476,26134,745,15.14,Low
477,477,20504,624,23.19,High
478,478,17558,631,19.78,High
479,479,22562,631,19.46,High
480,480,10715,695,16.6,Medium
481,481,2957,583,23.08,High
482,482,7228,622,21.1,High
483,483,96030,643,18.04,High
484,484,7124,638,20.78,High
485,485,43832,624,23.35,High
486,486,13632,699,17.23,Medium
487,487,8866,772,14.25,Low
488,488,30112,757,13.78,Low
489,489,2564,561,21.95,VeryHigh
490,490,3724,576,21.1,VeryHigh
491,491,4066,671,17.3,Medium
492,492,80616,749,16.33,Low
493,493,82408,751,16.1,Low
494,494,7364,695,19.58,Medium
495,495,10570,617,20.11,High
496,496,28015,798,14.9,Low
497,497,17030,767,14.55,Low
498,498,42983,736,15.61,Medium
499,499,21670,698,19.49,Medium
500,500,28603,723,16.57,Medium
501,501,51606,730,16.08,Medium
502,502,5093,721,16.42,Medium
503,503,51201,639,19.69,High
504,504,14570,606,19.89,High
505,505,6241,688,17.47,Medium
506,506,5509,684,18.64,Medium
507,507,12724,591,19.65,High
508,508,3647,534,23.26,VeryHigh
509,509,17057,724,16.91,Medium
510,510,20505,669,17.05,High
511,511,34341,732,17.31,Medium
512,512,12579,704,17.44,Medium
513,513,10534,619,19.88,High
514,514,31811,702,17.98,Medium
515,515,6476,721,18.67,Medium
516,516,5513,640,18.25,High
517,517,16524,716,15.79,Medium
518,518,13046,590,22.87,High
519,519,61994,701,16.82,Medium
520,520,32836,620,22.27,High
521,521,27941,788,16.77,Low
522,522,7850,660,20.61,High
523,523,16977,701,16.31,Medium
524,524,4583,651,18.87,High
525,525,7463,792,13.34,Low
526,526,8862,584,23.57,High
527,527,20969,753,18.99,Low
528,528,52219,654,18.63,High
529,529,31943,786,13.99,Low
530,530,22687,683,18.18,Medium
531,531,31341,647,18.63,High
532,532,9112,665,22.76,High
533,533,21459,740,14.36,Low
534,534,121596,714,17.9,Medium
535,535,36750,827,10.73,VeryLow
536,536,41573,582,21.25,High
537,537,54744,706,15.45,Medium
538,538,12638,620,21.42,High
539,539,33738,734,17.34,Medium
540,540,19038,629,21.41,High
541,541,16277,628,18.5,High
542,542,9142,548,21.32,VeryHigh
543,543,8392,607,21.73,High
544,544,4025,680,19.02,Medium
545,545,7089,634,19.54,High
546,546,6251,636,17.76,High
547,547,18747,573,22.4,VeryHigh
548,548,30219,698,18.6,Medium
549,549,5929,568,24.52,VeryHigh
550,550,2421,598,20.32,High
551,551,8221,711,17.14,Medium
552,552,11924,641,17.88,High
553,553,42087,728,16.65,Medium
554,554,7526,634,19.93,High
555,555,18554,734,14.88,Medium
556,556,27629,669,17.49,High
557,557,30139,715,17.35,Medium
558,558,3541,630,19.04,High
559,559,7800,590,21.52,High
560,560,2931,670,17.32,Medium
561,561,18793,680,20.63,Medium
562,562,4858,512,22.57,VeryHigh
563,563,21539,609,19.82,High
564,564,56435,775,15.66,Low
565,565,4383,595,22.94,High
566,566,18752,681,17.76,Medium
567,567,7735,666,17.32,High
568,568,15863,731,15.66,Medium
569,569,12628,778,16.86,Low
570,570,159574,705,17.51,Medium
571,571,13162,681,19.32,Medium
572,572,3315,577,21.23,VeryHigh
573,573,26236,605,21.11,High
574,574,4720,625,20.8,High
575,575,7173,794,14.45,Low
576,576,24454,639,21.7,High
577,577,18033,666,21.18,High
578,578,7986,606,19.9,High
579,579,19097,593,20.65,High
580,580,6991,735,16.14,Medium
581,581,56821,725,16.93,Medium
582,582,25292,708,19.08,Medium
583,583,6012,615,24.12,High
584,584,3230,610,22.21,High
585,585,27367,701,19.36,Medium
586,586,2698,673,21.54,Medium
587,587,14038,699,15.85,Medium
588,588,8689,645,20.33,High
589,589,3880,595,18.17,High
590,590,8558,723,16.68,Medium
591,591,12009,684,16.75,Medium
592,592,38862,689,20.22,Medium
593,593,53011,772,12.59,Low
594,594,5508,592,22.64,High
595,595,9729,612,20.44,High
596,596,33277,757,15.29,Low
597,597,15739,610,19.47,High
598,598,2540,595,20.14,High
599,599,13968,659,19.22,High
600,600,8956,689,17.19,Medium
601,601,4200,597,21.13,High
602,602,38417,722,17.29,Medium
603,603,2421,616,20.74,High
604,604,1546,532,21.3,VeryHigh
605,605,17398,643,21.91,High
606,606,2386,668,16.92,High
607,607,5543,617,20.38,High
608,608,55583,607,21.43,High
609,609,25780,763,12.73,Low
610,610,10480,591,19.55,High
611,611,4071,626,20.07,High
612,612,31709,681,18.85,Medium
613,613,9767,661,16.42,High
614,614,17551,609,20.55,High
615,615,8269,661,19.7,High
616,616,3584,637,19.1,High
617,617,2858,681,18.61,Medium
618,618,11520,609,18.81,High
619,619,5316,704,17.74,Medium
620,620,4939,611,19.64,High
621,621,13312,681,19.3,Medium
622,622,6851,605,20.34,High
623,623,31921,673,20.64,Medium
624,624,16969,716,17.39,Medium
625,625,37003,680,19.08,Medium
626,626,3312,596,22.25,High
627,627,8230,562,21.24,VeryHigh
628,628,2759,651,20.41,High
629,629,1642,563,22.86,VeryHigh
630,630,52440,629,22.2,High
631,631,38321,648,19.59,High
632,632,56493,712,19.39,Medium
633,633,6403,593,21.27,High
634,634,13853,639,21.58,High
635,635,10300,649,20.44,High
636,636,10688,638,19.21,High
637,637,86353,761,13.87,Low
638,638,3521,577,23.67,VeryHigh
639,639,10920,732,15.22,Medium
640,640,14137,693,18.3,Medium
641,641,59600,599,20.63,High
642,642,14415,698,16.57,Medium
643,643,20876,610,18.05,High
644,644,30455,731,15.75,Medium
645,645,22771,775,15.74,Low
646,646,27568,830,12.61,VeryLow
647,647,55451,654,17.51,High
648,648,3693,602,19.94,High
649,649,20723,696,16.3,Medium
650,650,11760,719,15.89,Medium
651,651,2687,552,23.88,VeryHigh
652,652,7793,663,17.08,High
653,653,73152,670,16.47,Medium
654,654,9112,702,18.34,Medium
655,655,20368,568,21.53,VeryHigh
656,656,10947,654,19.85,High
657,657,12313,638,19.56,High
658,658,22583,692,16.78,Medium
659,659,10987,612,21.3,High
660,660,16133,592,22.59,High
661,661,32629,683,17.6,Medium
662,662,4283,602,20.9,High
663,663,34498,671,17.75,Medium
664,664,22627,734,14.32,Medium
665,665,26591,706,16.91,Medium
666,666,3719,557,22.96,VeryHigh
667,667,19098,676,17.76,Medium
668,668,244178,641,19.52,High
669,669,6925,707,19.45,Medium
670,670,68235,742,16.56,Low
671,671,20127,650,18.59,High
672,672,38235,587,22.27,High
673,673,19317,605,19.52,High
674,674,19740,721,17.15,Medium
675,675,37302,602,18.41,High
676,676,23621,745,15.4,Low
677,677,26707,744,16.04,Low
678,678,3451,610,21.46,High
679,679,23069,672,17.63,Medium
680,680,14651,676,16.83,Medium
681,681,4236,622,17.51,High
682,682,27870,716,17.07,Medium
683,683,4867,621,21.2,High
684,684,15588,767,17.06,Low
685,685,35626,691,19.47,Medium
686,686,8180,634,16.61,High
687,687,14166,684,17.74,Medium
688,688,2656,550,24.42,VeryHigh
689,689,12361,637,18.17,High
690,690,6603,634,19.3,High
691,691,8163,646,17.82,High
692,692,4925,639,17.82,High
693,693,3316,638,20.8,High
694,694,29913,748,18.11,Low
695,695,19095,589,24.15,High
696,696,4718,654,21.02,High
697,697,8977,586,22.29,High
698,698,2792,663,18.33,High
699,699,8146,773,13.95,Low
700,700,11800,630,23.19,High
701,701,14243,628,17.98,High
702,702,4053,612,23.08,High
703,703,26935,730,14.39,Medium
704,704,3354,539,21.86,VeryHigh
705,705,5739,618,20.4,High
706,706,16238,650,18.87,High
707,707,11947,611,20.97,High
708,708,50133,739,15.01,Medium
709,709,27844,749,17.93,Low
710,710,15729,650,25.62,High
711,711,5074,616,22.87,High
712,712,3632,706,16.31,Medium
713,713,6411,577,21.92,VeryHigh
714,714,30937,550,23.3,VeryHigh
715,715,2580,626,23.0,High
716,716,30451,647,18.17,High
717,717,4481,628,21.02,High
718,718,25161,784,14.84,Low
719,719,13086,667,18.49,High
720,720,5986,563,22.02,VeryHigh
721,721,3449,676,17.16,Medium
722,722,7620,508,25.09,VeryHigh
723,723,18037,538,25.88,VeryHigh
724,724,29688,688,17.12,Medium
725,725,13186,714,16.0,Medium
726,726,10253,648,18.35,High
727,727,38133,732,15.53,Medium
728,728,19967,714,20.79,Medium
729,729,52994,756,16.64,Low
730,730,6886,658,17.59,High
731,731,4509,468,23.66,VeryHigh
732,732,2131,595,21.65,High
733,733,53536,705,15.52,Medium
734,734,7753,712,16.82,Medium
735,735,11865,701,19.04,Medium
736,736,43767,679,16.95,Medium
737,737,3225,592,21.28,High
738,738,27763,623,18.79,High
739,739,10278,719,16.89,Medium
740,740,11503,521,23.98,VeryHigh
741,741,30507,618,17.98,High
742,742,84152,701,16.2,Medium
743,743,46495,752,12.7,Low
744,744,29792,699,17.35,Medium
745,745,12192,681,15.73,Medium
746,746,6537,607,21.06,High
747,747,89997,741,17.49,Low
748,748,9097,611,19.19,High
749,749,3390,524,25.58,VeryHigh
750,750,25523,716,15.47,Medium
751,751,6275,621,22.61,High
752,752,9740,666,17.24,High
753,753,7813,671,17.28,Medium
754,754,2506,640,17.46,High
755,755,12982,650,19.45,High
756,756,3270,576,20.33,VeryHigh
757,757,19990,667,20.1,High
758,758,21459,649,18.53,High
759,759,134229,801,16.85,VeryLow
760,760,6841,652,21.26,High
761,761,19717,637,18.33,High
762,762,56087,636,19.64,High
763,763,10945,543,23.61,VeryHigh
764,764,3148,620,19.96,High
765,765,3230,612,26.25,High
766,766,64156,704,19.1,Medium
767,767,9061,623,23.76,High
768,768,46609,731,18.26,Medium
769,769,10602,679,19.67,Medium
770,770,7613,583,24.04,High
771,771,34535,703,16.37,Medium
772,772,8572,596,21.73,High
773,773,16578,579,19.87,VeryHigh
774,774,3561,603,20.47,High
775,775,10258,538,23.68,VeryHigh
776,776,30196,657,20.12,High
777,777,8628,640,19.19,High
778,778,12022,744,16.04,Low
779,779,3624,636,21.53,High
780,780,3445,707,17.32,Medium
781,781,2600,592,23.93,High
782,782,3713,561,23.3,VeryHigh
783,783,9988,715,19.96,Medium
784,784,50511,674,18.5,Medium
785,785,29418,680,18.2,Medium
786,786,8583,603,22.01,High
787,787,94725,761,17.84,Low
788,788,31502,642,16.89,High
789,789,50011,751,16.51,Low
790,790,5020,557,22.7,VeryHigh
791,791,7956,698,17.8,Medium
792,792,16386,694,19.27,Medium
793,793,37670,611,16.74,High
794,794,9747,646,18.29,High
795,795,7636,677,16.31,Medium
796,796,3496,571,22.37,VeryHigh
797,797,18689,687,18.0,Medium
798,798,4564,654,19.92,High
799,799,4921,669,19.32,High
800,800,8549,581,22.08,High
801,801,24444,687,19.26,Medium
802,802,7888,636,18.08,High
803,803,23982,711,14.29,Medium
804,804,58488,740,17.42,Low
805,805,15474,731,19.28,Medium
806,806,4629,751,17.43,Low
807,807,23030,670,21.35,Medium
808,808,38528,718,16.43,Medium
809,809,20878,756,14.79,Low
810,810,69785,580,19.61,High
811,811,17298,683,16.73,Medium
812,812,11027,622,19.49,High
813,813,6319,722,17.88,Medium
814,814,16692,760,14.39,Low
815,815,11632,661,18.91,High
816,816,6509,665,19.1,High
817,817,62225,850,12.19,VeryLow
818,818,19749,636,21.54,High
819,819,2673,523,21.23,VeryHigh
820,820,7043,651,19.42,High
821,821,3814,581,20.57,High
822,822,81204,701,15.2,Medium
823,823,3569,588,19.4,High
824,824,4570,651,20.59,High
825,825,6619,682,19.24,Medium
826,826,18667,646,20.34,High
827,827,8141,619,20.14,High
828,828,16413,636,17.58,High
829,829,4028,614,21.19,High
830,830,4532,563,24.18,VeryHigh
831,831,23210,733,12.17,Medium
832,832,19281,630,23.0,High
833,833,16162,615,21.97,High
834,834,16139,685,18.33,Medium
835,835,25042,700,19.07,Medium
836,836,8257,604,21.96,High
837,837,18700,785,12.28,Low
838,838,23571,752,15.19,Low
839,839,11454,624,20.65,High
840,840,42987,657,19.28,High
841,841,3834,652,21.11,High
842,842,10515,716,15.11,Medium
843,843,21672,662,20.21,High
844,844,16102,652,19.17,High
845,845,16241,753,14.39,Low
846,846,8052,603,18.68,High
847,847,6655,587,18.89,High
848,848,11215,679,16.86,Medium
849,849,5031,611,18.93,High
850,850,13548,671,18.04,Medium
851,851,13741,676,16.93,Medium
852,852,4093,570,23.05,VeryHigh
853,853,5075,622,20.08,High
854,854,46014,752,17.0,Low
